Id,Reputation,CreationDate,DisplayName,LastAccessDate,WebsiteUrl,Location,AboutMe,Views,UpVotes,DownVotes,ProfileImageUrl,EmailHash,Age,AccountId
"-1","1","2008-07-31 00:00:00","Community","2008-08-26 00:16:53","http://meta.stackexchange.com/","on the server farm","<p>Hi, I'm not really a person.</p>

<p>I'm a background process that helps keep this site clean!</p>

<p>I do things like</p>

<ul>
<li>Randomly poke old unanswered questions every hour so they get some attention</li>
<li>Own community questions and answers so nobody gets unnecessary reputation from them</li>
<li>Own downvotes on spam/evil posts that get permanently deleted</li>
<li>Own suggested edits from anonymous users</li>
<li><a href=""http://meta.stackexchange.com/a/92006"">Remove abandoned questions</a></li>
</ul>
","649","181522","733626","","","","-1"
"1","39178","2008-07-31 14:22:31","Jeff Atwood","2016-10-14 00:09:17","http://www.codinghorror.com/blog/","El Cerrito, CA","<p><a href=""http://www.codinghorror.com/blog/archives/001169.html"" rel=""nofollow"">Stack Overflow Valued Associate #00001</a></p>

<p>Wondering how our software development process works? <a href=""http://www.youtube.com/watch?v=08xQLGWTSag"" rel=""nofollow"">Take a look!</a></p>

<p>Find me <a href=""http://twitter.com/codinghorror"" rel=""nofollow"">on twitter</a>, or <a href=""http://www.codinghorror.com/blog"" rel=""nofollow"">read my blog</a>. Don't say I didn't warn you <em>because I totally did</em>.</p>

<p>However, <a href=""http://www.codinghorror.com/blog/2012/02/farewell-stack-exchange.html"" rel=""nofollow"">I no longer work at Stack Exchange, Inc</a>. I'll miss you all. Well, <em>some</em> of you, anyway. :)</p>
","231732","3314","1304","https://www.gravatar.com/avatar/51d623f33f8b83095db84ff35e15dbe8?s=128&amp;d=identicon&amp;r=PG","","46","1"
"2","2692","2008-07-31 14:22:31","Geoff Dalgas","2016-10-15 04:07:38","http://stackoverflow.com","Corvallis, OR, United States","<p>Developer on the Stack Overflow team.  Find me on</p>

<p><a href=""http://www.twitter.com/SuperDalgas"" rel=""nofollow"">Twitter</a>
<br><br>
<a href=""http://blog.stackoverflow.com/2009/05/welcome-stack-overflow-valued-associate-00003/"">Stack Overflow Valued Associate #00003</a></p>
","20229","620","87","","","39","2"
"3","12298","2008-07-31 14:22:31","Jarrod Dixon","2016-10-14 00:03:31","http://jarroddixon.com","Johnson City, TN, United States","<p><a href=""http://blog.stackoverflow.com/2009/01/welcome-stack-overflow-valued-associate-00002/"">Developer on the Stack Overflow team</a>.</p>

<p>Was dubbed <strong>SALTY SAILOR</strong> by Jeff Atwood, as filth and flarn would oft-times fly when dealing with a particularly nasty bug!</p>

<ul>
<li>Twitter me: <a href=""http://twitter.com/jarrod_dixon"" rel=""nofollow"">jarrod_dixon</a></li>
<li>Email me: jarrod.m.dixon@gmail.com</li>
</ul>
","21549","6456","100","","","37","3"
"4","26435","2008-07-31 14:22:31","Joel Spolsky","2016-10-14 18:25:50","http://www.joelonsoftware.com/","New York, NY","<p>I am:</p>

<ul>
<li>the co-founder and CEO of <a href=""http://stackexchange.com"">Stack Exchange</a></li>
<li>the co-founder of <a href=""http://www.fogcreek.com"" rel=""nofollow"">Fog Creek Software</a></li>
<li>the creator and chairman of the board of <a href=""http://trello.com"" rel=""nofollow"">Trello</a></li>
<li>owner of Taco, the most famous Siberian Husky on the Upper West Side.</li>
</ul>

<p>You can find me on Twitter (as <a href=""http://twitter.com/spolsky"" rel=""nofollow"">@spolsky</a>) or on my rarely-updated blog, <a href=""http://joelonsoftware.com"" rel=""nofollow"">Joel on Software</a>.</p>
","66086","778","96","https://i.stack.imgur.com/C5gBG.jpg?s=128&g=1","","","4"
"5","34583","2008-07-31 14:22:31","Jon Galloway","2016-10-12 18:41:11","http://weblogs.asp.net/jgalloway/","San Diego, CA","<p>Technical Evangelist at Microsoft, specializing in ASP.NET MVC.</p>

<p>I don't use this site anymore because the moderators close or delete far too many of the useful questions.</p>
","9624","778","34","","","46","5"
"8","947","2008-07-31 21:33:24","Eggs McLaren","2012-10-15 22:00:45","","","<p>This is a puppet test account I use to validate ""regular user"" stuff on the site</p>
<p>-- <a href=""http://stackoverflow.com/users/1/jeff-atwood"" rel=""nofollow"">Jeff Atwood</a>","5219","12","9","","","","6"
"9","11267","2008-07-31 21:35:26","Kevin Dente","2016-10-14 21:13:47","http://weblogs.asp.net/kdente","Oakland, CA","<p>Independent software engineer</p>
","3890","44","4","","","45","7"
"10","101","2008-07-31 21:57:06","Sneakers O'Toole","2012-06-19 19:35:43","http://www.youtube.com/watch?v=qrhNoljPtok","Lakehead, CA","I'm not takin' my sneakers off!
<br><br>
Actually, <b>I'm a test account</b>, used to help debug problems here on StackOverflow.","2970","0","0","","","37","8"
"11","1387","2008-08-01 00:59:11","Anonymous User","2008-08-01 00:59:11","","","","1576","0","0","","","","561854"
