Id,PostId,VoteTypeId,UserId,CreationDate,BountyAmount
"41770731","14935484","8","-1","2013-02-20 00:00:00","500"
"41773432","14937743","8","-1","2013-02-20 00:00:00","50"
"109130399","22372981","5","736","2016-03-07 00:00:00",""
"25639656","6110292","5","877","2012-03-19 00:00:00",""
"25643437","253099","5","510","2012-03-19 00:00:00",""
"94550644","931872","5","609","2015-08-03 00:00:00",""
"94550983","4049847","5","609","2015-08-03 00:00:00",""
"87187869","13273852","5","997","2015-04-16 00:00:00",""
"25699587","157476","5","383","2012-03-20 00:00:00",""
"72048954","2363197","5","507","2014-07-22 00:00:00",""
"9236946","3507984","5","615","2010-08-18 00:00:00",""
"9237074","1980573","5","415","2010-08-18 00:00:00",""
"9238711","101268","5","668","2010-08-18 00:00:00",""
"25721862","1866794","5","202","2012-03-20 00:00:00",""
"63999609","4681173","5","838","2014-03-07 00:00:00",""
"33767279","12437349","5","377","2012-09-24 00:00:00",""
"94664744","13884200","5","340","2015-08-04 00:00:00",""
"94665240","3303936","5","340","2015-08-04 00:00:00",""
"94665383","3270840","5","340","2015-08-04 00:00:00",""
"79770688","134934","5","879","2014-12-09 00:00:00",""
"25813043","3301956","5","742","2012-03-22 00:00:00",""
"25816454","4812570","5","779","2012-03-22 00:00:00",""
"79790403","27313389","8","-1","2014-12-09 00:00:00","50"
"79790806","151505","5","609","2014-12-09 00:00:00",""
"79791656","15445716","5","609","2014-12-09 00:00:00",""
"48905145","8704801","5","986","2013-06-17 00:00:00",""
"64107315","5923585","5","738","2014-03-09 00:00:00",""
"33876115","9558638","5","713","2012-09-26 00:00:00",""
"94752653","24751818","5","202","2015-08-05 00:00:00",""
"94752672","31741125","5","202","2015-08-05 00:00:00",""
"48974965","9580986","5","578","2013-06-18 00:00:00",""
"25919787","9841547","8","886","2012-03-26 00:00:00","200"
"55882588","19428970","8","-1","2013-10-20 00:00:00","50"
"17844026","387453","5","139","2011-08-04 00:00:00",""
"17845563","6844810","5","539","2011-08-04 00:00:00",""
"79916959","13309121","5","609","2014-12-11 00:00:00",""
"55935574","18455600","5","111","2013-10-21 00:00:00",""
"55937825","16539335","8","-1","2013-10-21 00:00:00","50"
"435976","26256","5","49","2008-10-03 00:00:00",""
"435980","15784","5","925","2008-10-03 00:00:00",""
"436056","161273","5","430","2008-10-03 00:00:00",""
"436058","15583","5","430","2008-10-03 00:00:00",""
"436154","35185","5","658","2008-10-03 00:00:00",""
"436705","164432","5","775","2008-10-03 00:00:00",""
"436841","58910","5","681","2008-10-03 00:00:00",""
"436929","157600","5","383","2008-10-03 00:00:00",""
"436930","61088","5","383","2008-10-03 00:00:00",""
"436931","126068","5","383","2008-10-03 00:00:00",""
"436932","121243","5","383","2008-10-03 00:00:00",""
"436972","20156","5","383","2008-10-03 00:00:00",""
"436973","8050","5","383","2008-10-03 00:00:00",""
"436975","2262","5","383","2008-10-03 00:00:00",""
"436978","56811","5","383","2008-10-03 00:00:00",""
"436979","3213","5","383","2008-10-03 00:00:00",""
"436980","54998","5","383","2008-10-03 00:00:00",""
"436982","38039","5","383","2008-10-03 00:00:00",""
"436983","2250","5","383","2008-10-03 00:00:00",""
"436985","7662","5","383","2008-10-03 00:00:00",""
"436987","153445","5","383","2008-10-03 00:00:00",""
"436988","3510","5","383","2008-10-03 00:00:00",""
"436989","2840","5","383","2008-10-03 00:00:00",""
"436993","40541","5","383","2008-10-03 00:00:00",""
"436994","3319","5","383","2008-10-03 00:00:00",""
"436997","43743","5","383","2008-10-03 00:00:00",""
"436999","62154","5","383","2008-10-03 00:00:00",""
"437002","3470","5","383","2008-10-03 00:00:00",""
"437003","10919","5","383","2008-10-03 00:00:00",""
"437004","5170","5","383","2008-10-03 00:00:00",""
"437006","2647","5","383","2008-10-03 00:00:00",""
"437008","4622","5","383","2008-10-03 00:00:00",""
"437009","4627","5","383","2008-10-03 00:00:00",""
"437011","2101","5","383","2008-10-03 00:00:00",""
"437012","39395","5","383","2008-10-03 00:00:00",""
"437013","4610","5","383","2008-10-03 00:00:00",""
"437014","2154","5","383","2008-10-03 00:00:00",""
"437016","9734","5","383","2008-10-03 00:00:00",""
"437017","29883","5","383","2008-10-03 00:00:00",""
"437018","8651","5","383","2008-10-03 00:00:00",""
"437019","9805","5","383","2008-10-03 00:00:00",""
"437020","2308","5","383","2008-10-03 00:00:00",""
"437021","2247","5","383","2008-10-03 00:00:00",""
"437023","5787","5","383","2008-10-03 00:00:00",""
"437024","5821","5","383","2008-10-03 00:00:00",""
"437025","39855","5","383","2008-10-03 00:00:00",""
"437029","121810","5","383","2008-10-03 00:00:00",""
"437031","7954","5","383","2008-10-03 00:00:00",""
"437032","5948","5","383","2008-10-03 00:00:00",""
"437033","72121","5","383","2008-10-03 00:00:00",""
"437035","37843","5","383","2008-10-03 00:00:00",""
"437036","43504","5","383","2008-10-03 00:00:00",""
"437037","52880","5","383","2008-10-03 00:00:00",""
"437038","56709","5","383","2008-10-03 00:00:00",""
"437039","77646","5","383","2008-10-03 00:00:00",""
"437041","32550","5","383","2008-10-03 00:00:00",""
"437042","5226","5","383","2008-10-03 00:00:00",""
"437043","37809","5","383","2008-10-03 00:00:00",""
"437044","2120","5","383","2008-10-03 00:00:00",""
"437045","4545","5","383","2008-10-03 00:00:00",""
"437046","4556","5","383","2008-10-03 00:00:00",""
"437047","36502","5","383","2008-10-03 00:00:00",""
"437048","11585","5","383","2008-10-03 00:00:00",""
"437049","91831","5","383","2008-10-03 00:00:00",""
"437155","165446","5","648","2008-10-03 00:00:00",""
"437501","166588","5","658","2008-10-03 00:00:00",""
"437514","36546","5","658","2008-10-03 00:00:00",""
"437743","128099","5","383","2008-10-03 00:00:00",""
"437826","55001","5","383","2008-10-03 00:00:00",""
"437924","145689","5","383","2008-10-03 00:00:00",""
"437958","103766","5","383","2008-10-03 00:00:00",""
"437960","30474","5","383","2008-10-03 00:00:00",""
"438001","81533","5","383","2008-10-03 00:00:00",""
"438299","164719","5","752","2008-10-03 00:00:00",""
"438651","167080","5","659","2008-10-03 00:00:00",""
"438687","101752","5","825","2008-10-03 00:00:00",""
"438705","160245","5","825","2008-10-03 00:00:00",""
"438749","161177","5","825","2008-10-03 00:00:00",""
"439446","166347","5","207","2008-10-03 00:00:00",""
"439470","164432","5","142","2008-10-03 00:00:00",""
"439948","153163","5","658","2008-10-03 00:00:00",""
"440159","158875","5","122","2008-10-03 00:00:00",""
"440217","3255","5","46","2008-10-03 00:00:00",""
"440291","164432","5","2","2008-10-03 00:00:00",""
"440303","12685","5","255","2008-10-03 00:00:00",""
"440322","167575","5","479","2008-10-03 00:00:00",""
"17894638","6781919","8","-1","2011-08-05 00:00:00","100"
"17895347","4752427","5","181","2011-08-05 00:00:00",""
"55953073","18948505","5","609","2013-10-22 00:00:00",""
"55957824","18858512","5","731","2013-10-22 00:00:00",""
"25993512","4037939","5","621","2012-03-27 00:00:00",""
"25994052","4660999","5","555","2012-03-27 00:00:00",""
"25997656","4864673","5","775","2012-03-27 00:00:00",""
"87480561","23567572","5","293","2015-04-20 00:00:00",""
"475924","51624","5","708","2008-10-07 00:00:00",""
"476034","130654","5","312","2008-10-07 00:00:00",""
"476041","18557","5","312","2008-10-07 00:00:00",""
"476249","31610","5","861","2008-10-07 00:00:00",""
"476276","114180","5","861","2008-10-07 00:00:00",""
"476449","178669","5","307","2008-10-07 00:00:00",""
"476457","178664","5","307","2008-10-07 00:00:00",""
"476560","178524","5","307","2008-10-07 00:00:00",""
"476580","178524","5","383","2008-10-07 00:00:00",""
"476766","178506","5","658","2008-10-07 00:00:00",""
"476769","5119","5","810","2008-10-07 00:00:00",""
"477082","178524","5","920","2008-10-07 00:00:00",""
"477312","178963","5","730","2008-10-07 00:00:00",""
"9154459","1344767","5","415","2010-08-13 00:00:00",""
"9154477","2298208","5","907","2010-08-13 00:00:00",""
"63903928","16245732","5","234","2014-03-05 00:00:00",""
"9189892","3488168","5","67","2010-08-15 00:00:00",""
"9190649","3459817","8","396","2010-08-15 00:00:00","50"
"17658063","6805677","8","-1","2011-07-29 00:00:00","50"
"17658323","3670831","5","260","2011-07-29 00:00:00",""
"41869466","1391281","5","982","2013-02-21 00:00:00",""
"41913200","9706443","5","162","2013-02-22 00:00:00",""
"41916989","10966969","5","198","2013-02-22 00:00:00",""
"25799165","9776804","5","392","2012-03-22 00:00:00",""
"25799794","6758081","5","578","2012-03-22 00:00:00",""
"25799811","1898","5","233","2012-03-22 00:00:00",""
"25800637","1244243","5","293","2012-03-22 00:00:00",""
"25822727","156937","5","838","2012-03-23 00:00:00",""
"94687732","31783891","5","636","2015-08-04 00:00:00",""
"94705092","16779799","5","879","2015-08-05 00:00:00",""
"48905880","6579270","5","198","2013-06-17 00:00:00",""
"48907032","4200041","5","609","2013-06-17 00:00:00",""
"79824124","302110","5","741","2014-12-09 00:00:00",""
"25884501","5737002","5","169","2012-03-24 00:00:00",""
"55847007","8901987","5","384","2013-10-19 00:00:00",""
"55847067","16830054","5","155","2013-10-19 00:00:00",""
"48958169","6088106","5","838","2013-06-18 00:00:00",""
"48959042","1046230","5","51","2013-06-18 00:00:00",""
"48959891","753514","5","997","2013-06-18 00:00:00",""
"48959958","3853767","5","51","2013-06-18 00:00:00",""
"42017882","1834642","5","340","2013-02-24 00:00:00",""
"48996332","8735713","5","470","2013-06-18 00:00:00",""
"87415933","1119289","5","49","2015-04-20 00:00:00",""
"9443641","3592788","5","61","2010-08-29 00:00:00",""
"9447068","3551127","5","398","2010-08-29 00:00:00",""
"42052244","5686588","5","739","2013-02-25 00:00:00",""
"440802","154112","5","905","2008-10-03 00:00:00",""
"440814","9033","5","905","2008-10-03 00:00:00",""
"440826","9773","5","905","2008-10-03 00:00:00",""
"441054","135647","5","92","2008-10-03 00:00:00",""
"441089","168120","5","430","2008-10-03 00:00:00",""
"441243","109668","5","470","2008-10-03 00:00:00",""
"441519","18557","5","383","2008-10-03 00:00:00",""
"441524","4689","5","383","2008-10-03 00:00:00",""
"441559","167904","5","479","2008-10-03 00:00:00",""
"441587","62472","5","416","2008-10-03 00:00:00",""
"441726","136483","5","770","2008-10-03 00:00:00",""
"441916","44637","5","169","2008-10-03 00:00:00",""
"442001","60736","5","391","2008-10-03 00:00:00",""
"9457225","3538156","5","571","2010-08-30 00:00:00",""
"455054","50786","5","685","2008-10-05 00:00:00",""
"455057","50164","5","685","2008-10-05 00:00:00",""
"455105","171971","5","384","2008-10-05 00:00:00",""
"455428","163796","5","392","2008-10-05 00:00:00",""
"455494","137975","5","25","2008-10-05 00:00:00",""
"455602","161872","5","164","2008-10-05 00:00:00",""
"455609","170268","5","164","2008-10-05 00:00:00",""
"455737","84556","5","295","2008-10-05 00:00:00",""
"455738","58640","5","295","2008-10-05 00:00:00",""
"455908","84556","5","46","2008-10-05 00:00:00",""
"457251","153942","5","233","2008-10-05 00:00:00",""
"457377","153559","5","112","2008-10-05 00:00:00",""
"457403","54607","5","802","2008-10-05 00:00:00",""
"457417","172504","5","85","2008-10-05 00:00:00",""
"457420","172394","5","909","2008-10-05 00:00:00",""
"457463","172565","5","115","2008-10-05 00:00:00",""
"458010","166212","5","877","2008-10-05 00:00:00",""
"458209","172648","5","619","2008-10-05 00:00:00",""
"458823","172798","5","658","2008-10-06 00:00:00",""
"459031","172925","5","392","2008-10-06 00:00:00",""
"459254","68074","5","1000","2008-10-06 00:00:00",""
"459683","76526","5","861","2008-10-06 00:00:00",""
"459695","172880","5","115","2008-10-06 00:00:00",""
"459699","137212","5","861","2008-10-06 00:00:00",""
"459742","98867","5","877","2008-10-06 00:00:00",""
"459770","44909","5","861","2008-10-06 00:00:00",""
"459771","121839","5","861","2008-10-06 00:00:00",""
"459772","29104","5","861","2008-10-06 00:00:00",""
"459778","117875","5","861","2008-10-06 00:00:00",""
"459942","38210","5","877","2008-10-06 00:00:00",""
"459943","38210","5","861","2008-10-06 00:00:00",""
"459971","35646","5","861","2008-10-06 00:00:00",""
"459973","143088","5","861","2008-10-06 00:00:00",""
"459991","23755","5","861","2008-10-06 00:00:00",""
"459993","13343","5","861","2008-10-06 00:00:00",""
"460006","1939","5","406","2008-10-06 00:00:00",""
"460014","173158","5","479","2008-10-06 00:00:00",""
"460070","147189","5","861","2008-10-06 00:00:00",""
"460074","107249","5","861","2008-10-06 00:00:00",""
"460475","170194","5","988","2008-10-06 00:00:00",""
"460653","90272","5","91","2008-10-06 00:00:00",""
"460657","124322","5","91","2008-10-06 00:00:00",""
"460858","3746","5","46","2008-10-06 00:00:00",""
"461110","24813","5","91","2008-10-06 00:00:00",""
"461323","14279","5","186","2008-10-06 00:00:00",""
"461624","147246","5","277","2008-10-06 00:00:00",""
"461667","101774","5","752","2008-10-06 00:00:00",""
"461737","173757","5","277","2008-10-06 00:00:00",""
"461786","173770","5","86","2008-10-06 00:00:00",""
"461994","144487","5","277","2008-10-06 00:00:00",""
"462000","70846","5","91","2008-10-06 00:00:00",""
"462214","32175","5","227","2008-10-06 00:00:00",""
"462276","173930","5","186","2008-10-06 00:00:00",""
"17889515","6959285","5","472","2011-08-05 00:00:00",""
"17890971","773461","5","986","2011-08-05 00:00:00",""
"26015433","8524599","5","607","2012-03-28 00:00:00",""
"494538","181029","5","447","2008-10-08 00:00:00",""
"494755","79972","5","492","2008-10-08 00:00:00",""
"494815","185210","5","826","2008-10-08 00:00:00",""
"495086","15496","5","826","2008-10-08 00:00:00",""
"495994","185348","5","659","2008-10-09 00:00:00",""
"496491","185110","5","672","2008-10-09 00:00:00",""
"496749","164847","5","861","2008-10-09 00:00:00",""
"26053617","8863447","5","340","2012-03-29 00:00:00",""
"26068526","703272","5","382","2012-03-29 00:00:00",""
"109529642","8302567","5","731","2016-03-12 00:00:00",""
"26084537","14","5","731","2012-03-29 00:00:00",""
"26088211","6163136","8","79","2012-03-29 00:00:00","50"
"26088955","5193842","5","702","2012-03-29 00:00:00",""
"26089213","2105364","5","340","2012-03-29 00:00:00",""
"26090391","1467509","5","737","2012-03-29 00:00:00",""
"26090393","1427740","5","737","2012-03-29 00:00:00",""
"548709","168043","5","861","2008-10-15 00:00:00",""
"548814","203824","5","813","2008-10-15 00:00:00",""
"549143","203286","5","85","2008-10-15 00:00:00",""
"549154","202723","5","85","2008-10-15 00:00:00",""
"549169","202560","5","85","2008-10-15 00:00:00",""
"549340","27009","5","966","2008-10-15 00:00:00",""
"549373","84556","5","384","2008-10-15 00:00:00",""
"549381","143232","5","966","2008-10-15 00:00:00",""
"549450","203953","5","925","2008-10-15 00:00:00",""
"549536","178034","5","191","2008-10-15 00:00:00",""
"549704","18557","5","438","2008-10-15 00:00:00",""
"550126","204184","5","86","2008-10-15 00:00:00",""
"550501","204369","5","909","2008-10-15 00:00:00",""
"550884","204463","5","148","2008-10-15 00:00:00",""
"551385","200442","5","971","2008-10-15 00:00:00",""
"551485","204653","5","149","2008-10-15 00:00:00",""
"551492","204650","5","149","2008-10-15 00:00:00",""
"551862","23907","5","825","2008-10-15 00:00:00",""
"552055","201450","5","371","2008-10-15 00:00:00",""
"552072","77280","5","416","2008-10-15 00:00:00",""
"552073","33728","5","416","2008-10-15 00:00:00",""
"552217","203695","5","781","2008-10-15 00:00:00",""
"552869","188162","5","894","2008-10-15 00:00:00",""
"553678","205308","5","730","2008-10-15 00:00:00",""
"554000","200968","5","765","2008-10-15 00:00:00",""
"554070","136104","5","470","2008-10-15 00:00:00",""
"101856406","21803658","8","-1","2015-11-21 00:00:00","300"
"101857272","30024353","5","33","2015-11-21 00:00:00",""
"17622019","6441218","5","718","2011-07-28 00:00:00",""
"17623875","160608","5","937","2011-07-28 00:00:00",""
"25656943","5525567","5","293","2012-03-19 00:00:00",""
"101873775","21841598","5","340","2015-11-22 00:00:00",""
"9219054","3499981","5","931","2010-08-17 00:00:00",""
"48811730","17121377","5","476","2013-06-15 00:00:00",""
"48814580","5333077","5","609","2013-06-15 00:00:00",""
"48814980","12906789","5","609","2013-06-15 00:00:00",""
"33733703","388483","5","203","2012-09-23 00:00:00",""
"33735933","12536091","8","-1","2012-09-23 00:00:00","50"
"48827203","16799324","8","-1","2013-06-15 00:00:00","50"
"87253811","20680198","5","932","2015-04-17 00:00:00",""
"87254006","13604285","5","932","2015-04-17 00:00:00",""
"64013293","389169","5","920","2014-03-07 00:00:00",""
"72100625","24504599","5","342","2014-07-23 00:00:00",""
"64046911","159038","5","117","2014-03-07 00:00:00",""
"101971292","33878866","5","369","2015-11-23 00:00:00",""
"55803354","1076503","5","609","2013-10-18 00:00:00",""
"48916862","13290723","5","122","2013-06-17 00:00:00",""
"64093483","14049480","5","140","2014-03-08 00:00:00",""
"79833307","17043484","5","769","2014-12-09 00:00:00",""
"9383958","502517","5","207","2010-08-25 00:00:00",""
"17850263","1616957","5","539","2011-08-04 00:00:00",""
"17850654","1918190","5","993","2011-08-04 00:00:00",""
"17850855","6132140","5","993","2011-08-04 00:00:00",""
"17851013","6432292","5","293","2011-08-04 00:00:00",""
"17851339","6931873","5","993","2011-08-04 00:00:00",""
"42072998","4781070","5","305","2013-02-25 00:00:00",""
"55945748","3388507","5","636","2013-10-21 00:00:00",""
"442473","168512","5","430","2008-10-03 00:00:00",""
"442488","168531","5","730","2008-10-03 00:00:00",""
"442643","168621","5","658","2008-10-03 00:00:00",""
"443244","1576","5","117","2008-10-03 00:00:00",""
"443377","105075","5","117","2008-10-03 00:00:00",""
"443665","55101","5","898","2008-10-03 00:00:00",""
"443722","50315","5","106","2008-10-03 00:00:00",""
"444116","18557","5","85","2008-10-03 00:00:00",""
"444118","84556","5","85","2008-10-03 00:00:00",""
"444120","9033","5","85","2008-10-03 00:00:00",""
"444121","1711","5","85","2008-10-03 00:00:00",""
"444122","12745","5","85","2008-10-03 00:00:00",""
"444143","4689","5","85","2008-10-03 00:00:00",""
"444180","58640","5","85","2008-10-03 00:00:00",""
"444196","15496","5","85","2008-10-03 00:00:00",""
"444202","115369","5","85","2008-10-03 00:00:00",""
"444205","3748","5","85","2008-10-03 00:00:00",""
"444258","165595","5","296","2008-10-03 00:00:00",""
"444574","161872","5","553","2008-10-03 00:00:00",""
"444709","871","5","553","2008-10-03 00:00:00",""
"444750","166109","5","881","2008-10-03 00:00:00",""
"444753","7477","5","881","2008-10-03 00:00:00",""
"444794","135448","5","653","2008-10-03 00:00:00",""
"444799","122102","5","653","2008-10-03 00:00:00",""
"444812","61088","5","653","2008-10-03 00:00:00",""
"445067","167904","5","332","2008-10-04 00:00:00",""
"445079","169362","5","115","2008-10-04 00:00:00",""
"445103","167904","5","217","2008-10-04 00:00:00",""
"445138","164432","5","217","2008-10-04 00:00:00",""
"445144","168677","5","217","2008-10-04 00:00:00",""
"445288","156866","5","277","2008-10-04 00:00:00",""
"445469","123665","5","861","2008-10-04 00:00:00",""
"445528","101268","5","861","2008-10-04 00:00:00",""
"445583","22873","5","924","2008-10-04 00:00:00",""
"445619","169530","5","750","2008-10-04 00:00:00",""
"445750","25620","5","750","2008-10-04 00:00:00",""
"445757","7301","5","750","2008-10-04 00:00:00",""
"445765","150043","5","750","2008-10-04 00:00:00",""
"445955","158775","5","339","2008-10-04 00:00:00",""
"445989","169702","5","339","2008-10-04 00:00:00",""
"446023","58640","5","659","2008-10-04 00:00:00",""
"446070","169697","5","659","2008-10-04 00:00:00",""
"446100","76364","5","659","2008-10-04 00:00:00",""
"446120","78955","5","659","2008-10-04 00:00:00",""
