Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
10887,2,,10877,2008-08-14 11:01:30,,25,,"<p>The CSS for styling lists is <a href=""http://www.w3.org/TR/REC-CSS2/generate.html#lists"" rel=""nofollow"">here</a>, but is basically:</p>

<pre class=""lang-css prettyprint-override""><code>li {
    list-style-type: decimal;
    list-style-position: inside;
}
</code></pre>

<p>However, the specific layout you're after can probably only be achieved by delving into the innards of the layout with something like <a href=""http://www.w3.org/TR/REC-CSS2/generate.html#counters"" rel=""nofollow"">this</a> (note that I haven't actually tried it):</p>

<pre class=""lang-css prettyprint-override""><code>ol { counter-reset: item }
li { display: block }
li:before { content: counter(item) "") ""; counter-increment: item }
</code></pre>
",1000,sadie,2678454,sadie,2016-01-14 19:18:09,2016-01-14 19:18:09,,,,1,,,
14738,2,,10877,2008-08-18 14:51:27,,4,,"<p>I suggest playing with the :before attribute and seeing what you can achieve with it. It will mean your code really is limited to nice new browsers, and excludes the (annoyingly large) section of the market still using rubbish old browsers,</p>

<p>Something like the following, which forces a fixed with on the items. Yes, I know it's less elegant to have to choose the width yourself, but using CSS for your layout is like undercover police work: however good your motives, it always gets messy.</p>

<pre><code>li:before {
  content: counter(item) "") "";
  counter-increment: item;
  display: marker;
  width: 2em;
}
</code></pre>

<p>But you're going to have to experiment to find the exact solution.</p>
",1000,sadie,,,,2008-08-18 14:51:27,,,,1,,,
15939,2,,15481,2008-08-19 09:46:52,,32,,"<p>I don't understand where this ""don't use labels"" rule comes from. When doing non-trivial looping logic, the test to break or continue isn't always neatly at the end of the surrounding block.</p>

<pre><code>outer_loop:
for (...) {
  //  some code
  for (...) {
    //  some code
    if (...)
      continue outer_loop;
    //  more code
  }
  //  more code
}
</code></pre>

<p>Yes, cases like this do happen all the time. What are people suggesting I use instead? A boolean condition like this?</p>

<pre><code>for (...) {
  //  some code
  boolean continueOuterLoop = false;
  for (...) {
    //  some code
    if (...) {
      continueOuterLoop = true;
      break;
    }
    //  more code
  }
  if (continueOuterLoop)
    continue;
  //  more code
}
</code></pre>

<p><strong>Yuck!</strong>  Refactoring it as a method doesn't alleviate that either:</p>

<pre><code>boolean innerLoop (...) {
  for (...) {
    //  some code
    if (...) {
      return true;
    }
    //  more code
  }
  return false;
}

for (...) {
  //  some code
  if (innerLoop(...))
    continue;
  //  more code
}
</code></pre>

<p>Sure it's a little prettier, but it's still passing around a superfluous boolean. And if the inner loop modified local variables, refactoring it into a method isn't always the correct solution.</p>

<p>So why are you all against labels? Give me some solid reasons, and practical alternatives for the above case.</p>
",1000,sadie,,,,2008-08-19 09:46:52,,,,4,,,
15946,2,,15851,2008-08-19 10:14:51,,34,,"<p>Looking at the solutions presented so far:</p>

<ul>
<li><p>They all look less readable than the original, in that they involve spending more code on the mechanism of the code rather than on the algorithm itself</p></li>
<li><p>Some of them are broken, or were before they were edited. Most damning is the fact that people are having to think quite hard about how to write the code without labels and not break anything.</p></li>
<li><p>Some come with a performance penalty of running the same test twice, which may not always be trivial. The alternative to that is storing and passing round booleans, which gets ugly.</p></li>
<li><p>Refactoring the relevant part of the code into a method is effectively a no-op: it rearranges how the code is laid out in the file, but has no effect on how it's executed.</p></li>
</ul>

<p>All of which makes me believe that, at least in the case of this question as phrased, the label is the correct solution and doesn't need to be refactored away. Certainly there are cases where labels are used incorrectly and should be refactored away. I just don't think it should be treated as some unbreakable rule.</p>
",1000,sadie,,,,2008-08-19 10:14:51,,,,1,,,
15956,2,,15690,2008-08-19 10:34:35,,4,,"<p>This sounds very much like my first job. Straight out of university, I was asked to design the database and business logic layer, while other people would take care of the UI. Meanwhile the boss was looking over my shoulder, unwilling to let go of what used to be his baby and was now mine, and poking his finger in it. Three years later, developers were fleeing the company and we were still X months away from actually selling anything.</p>

<p>The big mistake was in being too ambitious. If this is your first job, you <em>will</em> make mistakes and you <em>will</em> need to change how things work long after you've written them. We had all sorts of features that made the system more complicated than it needed to be, both on the database level and in the API that it presented to other developers. In the end, the whole thing was just far too complicated to support all at once and just died.</p>

<p>So my advice:</p>

<ol>
<li><p>If you're not sure about taking on such a big job single-handed, don't. Tell your employers, and get them to find or hire somebody for you to work with who can help you out. If people need to be added to the project, then it should be done near the start rather than after stuff starts going wrong.</p></li>
<li><p>Think very carefully about what the product is for, and to boil it down to the <strong>simplest</strong> set of requirements you can think of. If the people giving you the spec aren't technical, try to see past what they've written to what will actually work and make money. Talk to customers and salespeople, and understand the market.</p></li>
<li><p>There's no shame in admitting you're wrong. If it turns out that the entire system needs to be rewritten, because you made some mistake in your first version, then it's better to admit this as soon as possible so you can get to it. Correspondingly, don't try to make an architecture that can anticipate every possible contingency in your first version, because you don't know what every contingency is and will just get it wrong. Write once with an eye to throwing away and starting again - you may not have to, the first version may be fine, but admit it if you do.</p></li>
</ol>
",1000,sadie,,,,2008-08-19 10:34:35,,,,0,,,
16014,2,,15851,2008-08-19 11:28:13,,1,,"<p>@<a href=""http://stackoverflow.com/questions/15851?sort=newest#15981"" rel=""nofollow"">Nicolas</a></p>

<blockquote>
  <blockquote>
    <p>Some of them are broken, or were before they were edited. Most damning is the fact that 
    people are having to think quite hard about how to write the code without labels and not 
    break anything.</p>
  </blockquote>
  
  <p>I have a different point of view: some of them are broken because it is hard to figure out 
  the behavior of the original algorithm.</p>
</blockquote>

<p>I realise that it's subjective, but I don't have any trouble reading the original algorithm. It's shorter and clearer than the proposed replacements.</p>

<p>What all the refactorings in this thread do is emulate the behaviour of a label using other language features - as if you were porting the code to a language that didn't have labels.</p>
",1000,sadie,,,,2008-08-19 11:28:13,,,,0,,,
16233,1,16255,,2008-08-19 14:13:18,,22,7464,"<p>The collection of fonts available to a web developer is depressingly limited. I remember reading long ago about TrueDoc, as a way of shipping fonts alongside a website - but it seems to have languished. Has anybody used this, or something similar? Is it supported by enough browsers? Am I missing a good solution?</p>

<p>Note that a responsible web developer does not use fonts that are only available on Windows (and <em>especially</em> ones that are only available on Vista), nor do they use a technology that isn't supported by at least the majority of browsers.</p>

<p><hr /></p>

<p><strong>Update:</strong> As several people have pointed out, there's nothing wrong with providing a list of fallback fonts for people who don't have the specific font you use. I do in fact always do this, and didn't mean to suggest that this was wrong.</p>

<p>While my question was badly phrased, what I meant was that a designer should not make too many assumptions about what the client will have available. You should plan for how all users will see your site, not just for people using your own preferred setup.</p>
",1000,sadie,1000,sadie,2008-08-21 13:12:30,2014-05-03 17:56:12,Fonts on the Web,<html><css><fonts>,10,6,9,2014-10-31 20:26:55,
17678,2,,17645,2008-08-20 09:42:10,,2,,"<p>In addition to the answers given, you may find issues with the different file systems:</p>

<ul>
<li><p>On unix, files that start with a <strong>.</strong> are hidden. On windows, it's a filesystem flag that you probably don't have easy access to. This may result in files that are supposed to be hidden now becoming visible on the client machines.</p></li>
<li><p>File permissions vary between the two. You will probably find, when you copy files onto a unix system, that the files now belong to the user that did the copying and have limited rights. You'll need to use <strong>chown/chmod</strong> to make sure the correct users have access to them.</p></li>
</ul>
",1000,sadie,,,,2008-08-20 09:42:10,,,,0,,,
17703,2,,17435,2008-08-20 10:16:49,,0,,"<p>Server-side programming has been around for a lot longer than client side, and has <em>lots</em> of good solutions already.</p>

<p>JavaScript has survived and become popular purely because developers have very little choice in the matter - it's the only language that can interact with a DOM. Its only competition on the client side is from things like Flash and Silverlight which have a very different model.</p>

<p>This is also why JavaScript has received so much effort to smart it up and add modern features. If it were possible for the whole browser market to drop JavaScript and replace it with something designed properly for the task, I'm sure they would. As it stands Javascript has strange prototype-based objects, a few neat functional programming features, limited and quirky collections and very few libraries.</p>

<p>For small scripts it's fine, but it's a horrible language for writing large complicated systems. That things like Firefox and Gmail are (partly) written in it is a heroic accomplishment on their part, not a sign that the language is ready for real application development.</p>
",1000,sadie,21632,Adam Bellaire,2008-10-22 21:02:41,2008-10-22 21:02:41,,,,2,,,
17723,2,,17430,2008-08-20 10:44:32,,1,,"<p>Short of a formal mathematical proof (which I imagine would be difficult), the proof of the pudding is in the unit tests. You have to find a way to wrap the converted C# snippets, compile the and run them under a similar environment, then compare the output against the original. Unless you're rigorous in your testing, there's no way you can be confident of the result.</p>
",1000,sadie,,,,2008-08-20 10:44:32,,,,0,,,
